news,143
social,387
web,1982
music,128
games_video,978
search,206
advertising,932
mobile,1475
security,314
software,3250
finance,376
ecommerce,1107
public_relations,300
messaging,169
enterprise,1219
travel,170
medical,442
network_hosting,373
real_estate,100
hardware,682
other,362
consulting,210
analytics,529
legal,43
health,287
biotech,1810
cleantech,799
photo_video,108
semiconductor,372
education,342
hospitality,191
sports,67
fashion,187
nanotech,42
automotive,61
nonprofit,46
transportation,64
manufacturing,213
design,40
pets,19
government,6
local,15